Epoch,TotalLoss,IntegralLoss,DensityLoss,Time
0,926.5726928710938,926.5726928710938,0.0,0.004293127854665121
1,908.9347534179688,908.9347534179688,0.0,0.002361885706583659
2,891.523681640625,891.523681640625,0.0,0.003392815589904785
3,874.3436279296875,874.3436279296875,0.0,0.002296773592631022
4,857.3974609375,857.3974609375,0.0,0.002234196662902832
5,840.6889038085938,840.6889038085938,0.0,0.002281804879506429
6,824.2203979492188,824.2203979492188,0.0,0.0032754023869832356
7,807.9953002929688,807.9953002929688,0.0,0.0020175615946451822
8,792.016357421875,792.016357421875,0.0,0.002221715450286865
9,776.285888671875,776.285888671875,0.0,0.0031857649485270184
10,760.8069458007812,760.8069458007812,0.0,0.002145675818125407
11,745.5818481445312,745.5818481445312,0.0,0.0021516561508178713
12,730.6101684570312,730.6101684570312,0.0,0.0032561739285786946
13,715.8965454101562,715.8965454101562,0.0,0.0021266937255859375
14,701.441162109375,701.441162109375,0.0,0.0021919926007588704
15,687.2446899414062,687.2446899414062,0.0,0.0021967609723409017
16,673.308837890625,673.308837890625,0.0,0.003293859958648682
17,659.63427734375,659.63427734375,0.0,0.0020938754081726075
18,646.2207641601562,646.2207641601562,0.0,0.0022542476654052734
19,633.0740356445312,633.0740356445312,0.0,0.003244531154632568
20,620.1880493164062,620.1880493164062,0.0,0.0022927045822143553
21,607.5643920898438,607.5643920898438,0.0,0.002268362045288086
22,595.2031860351562,595.2031860351562,0.0,0.003367344538370768
23,583.103759765625,583.103759765625,0.0,0.0022302826245625814
24,571.2656860351562,571.2656860351562,0.0,0.002254013220469157
25,559.68798828125,559.68798828125,0.0,0.002186596393585205
26,548.3694458007812,548.3694458007812,0.0,0.0030896862347920737
27,537.3091430664062,537.3091430664062,0.0,0.0023131450017293293
28,526.5064697265625,526.5064697265625,0.0,0.002260450522104899
29,515.95751953125,515.95751953125,0.0,0.003222505251566569
30,505.6617736816406,505.6617736816406,0.0,0.0022504528363545737
31,495.61761474609375,495.61761474609375,0.0,0.002177592118581136
32,485.8219909667969,485.8219909667969,0.0,0.003315869967142741
33,476.273193359375,476.273193359375,0.0,0.0022782007853190105
34,466.9681091308594,466.9681091308594,0.0,0.0024593154589335124
35,457.9044189453125,457.9044189453125,0.0,0.002364675203959147
36,449.0791931152344,449.0791931152344,0.0,0.0033469835917154947
37,440.4893493652344,440.4893493652344,0.0,0.0023450891176859537
38,432.13201904296875,432.13201904296875,0.0,0.0022597670555114745
39,424.0034484863281,424.0034484863281,0.0,0.003673223654429118
40,416.100830078125,416.100830078125,0.0,0.002440659205118815
41,408.4201965332031,408.4201965332031,0.0,0.0022132039070129395
42,400.9584045410156,400.9584045410156,0.0,0.003498987356821696
43,393.7115478515625,393.7115478515625,0.0,0.0022873719533284503
44,386.6759338378906,386.6759338378906,0.0,0.0023766756057739258
45,379.8479309082031,379.8479309082031,0.0,0.0026215354601542154
46,373.22320556640625,373.22320556640625,0.0,0.004160610834757487
47,366.798583984375,366.798583984375,0.0,0.0025411049524943032
48,360.5697326660156,360.5697326660156,0.0,0.0024782538414001463
49,354.5325012207031,354.5325012207031,0.0,0.0035846789677937826
50,348.68353271484375,348.68353271484375,0.0,0.0028389771779378254
51,343.01812744140625,343.01812744140625,0.0,0.0025010863939921063
52,337.53289794921875,337.53289794921875,0.0,0.0033783316612243652
53,332.2234802246094,332.2234802246094,0.0,0.0023242950439453123
54,327.0856628417969,327.0856628417969,0.0,0.002379298210144043
55,322.1158752441406,322.1158752441406,0.0,0.0034998456637064614
56,317.309814453125,317.309814453125,0.0,0.0024629990259806317
57,312.6636657714844,312.6636657714844,0.0,0.002281804879506429
58,308.17333984375,308.17333984375,0.0,0.003401954968770345
59,303.8349304199219,303.8349304199219,0.0,0.0022151748339335124
60,299.64434814453125,299.64434814453125,0.0,0.0022339860598246256
61,295.5978698730469,295.5978698730469,0.0,0.0021320541699727377
62,291.6916809082031,291.6916809082031,0.0,0.0033126155535380046
63,287.9217224121094,287.9217224121094,0.0,0.0023247718811035155
64,284.2843933105469,284.2843933105469,0.0,0.0023891687393188476
65,280.7758483886719,280.7758483886719,0.0,0.0036156058311462404
66,277.39227294921875,277.39227294921875,0.0,0.0025609532992045083
67,274.13006591796875,274.13006591796875,0.0,0.0025113423665364585
68,270.9857482910156,270.9857482910156,0.0,0.0037628332773844402
69,267.9554748535156,267.9554748535156,0.0,0.0028734763463338217
70,265.03594970703125,265.03594970703125,0.0,0.0027781128883361816
71,262.22369384765625,262.22369384765625,0.0,0.0025520960489908854
72,259.51519775390625,259.51519775390625,0.0,0.0037178675333658854
73,256.9070739746094,256.9070739746094,0.0,0.002543787161509196
74,254.39622497558594,254.39622497558594,0.0,0.0026166677474975587
75,251.97926330566406,251.97926330566406,0.0,0.0037232319513956706
76,249.6530303955078,249.6530303955078,0.0,0.002509586016337077
77,247.4145965576172,247.4145965576172,0.0,0.0025731285413106283
78,245.2602996826172,245.2602996826172,0.0,0.0034057259559631347
79,243.1879425048828,243.1879425048828,0.0,0.0023633639017740884
80,241.19427490234375,241.19427490234375,0.0,0.0023616115252176923
81,239.27659606933594,239.27659606933594,0.0,0.0027388930320739746
82,237.4317626953125,237.4317626953125,0.0,0.0034286538759867352
83,235.6574249267578,235.6574249267578,0.0,0.0024196187655131022
84,233.9508056640625,233.9508056640625,0.0,0.0025858998298645018
85,232.3092041015625,232.3092041015625,0.0,0.003510411580403646
86,230.73040771484375,230.73040771484375,0.0,0.0023430466651916506
87,229.21173095703125,229.21173095703125,0.0,0.002658994992574056
