Epoch,TotalLoss,ExtinctionLoss,DensityLoss,Time
0,25230.86590576172,25230.86590576172,0.0,0.020372470219930012
1,6562.098480224609,6562.098480224609,0.0,0.017798511187235515
2,4150.865798950195,4150.865798950195,0.0,0.015533192952473959
3,3737.0686645507812,3737.0686645507812,0.0,0.015273388226826985
4,3417.5513916015625,3417.5513916015625,0.0,0.016962691148122152
5,3277.030029296875,3277.030029296875,0.0,0.015270145734151204
6,3190.162109375,3190.162109375,0.0,0.016158783435821535
7,3144.6954650878906,3144.6954650878906,0.0,0.016169369220733643
8,3115.693893432617,3115.693893432617,0.0,0.015452047189076742
9,3100.1649627685547,3100.1649627685547,0.0,0.014339323838551838
10,3094.627670288086,3094.627670288086,0.0,0.01846259832382202
11,3082.1511993408203,3082.1511993408203,0.0,0.01332635482152303
12,3072.1240997314453,3072.1240997314453,0.0,0.014624249935150147
13,3065.808807373047,3065.808807373047,0.0,0.02364958127339681
14,3060.4471893310547,3060.4471893310547,0.0,0.021282295385996502
15,3054.3329315185547,3054.3329315185547,0.0,0.015474462509155273
16,3051.3411712646484,3051.3411712646484,0.0,0.013939420382181803
17,3048.142288208008,3048.142288208008,0.0,0.014469675223032634
18,3040.872512817383,3040.872512817383,0.0,0.016256765524546305
19,3036.775863647461,3036.775863647461,0.0,0.02152710755666097
20,3034.440155029297,3034.440155029297,0.0,0.022989515463511148
21,3032.259567260742,3032.259567260742,0.0,0.013640336195627848
22,3030.455795288086,3030.455795288086,0.0,0.015474804242451986
23,3028.018783569336,3028.018783569336,0.0,0.01701666514078776
24,3021.6966094970703,3021.6966094970703,0.0,0.013508915901184082
25,3019.0392150878906,3019.0392150878906,0.0,0.01467753251393636
26,3022.3247833251953,3022.3247833251953,0.0,0.020344010988871255
27,3020.301986694336,3020.301986694336,0.0,0.015281244119008382
28,3018.796920776367,3018.796920776367,0.0,0.013962284723917643
29,3014.444778442383,3014.444778442383,0.0,0.01745471159617106
30,3011.9705505371094,3011.9705505371094,0.0,0.01627171039581299
31,3011.551467895508,3011.551467895508,0.0,0.0149092435836792
32,3013.238739013672,3013.238739013672,0.0,0.017115171750386557
33,3010.624725341797,3010.624725341797,0.0,0.015770332018534342
34,3010.118927001953,3010.118927001953,0.0,0.018214778105417887
35,3007.3727416992188,3007.3727416992188,0.0,0.015031389395395915
36,3007.7440185546875,3007.7440185546875,0.0,0.015486208597819011
37,3007.0260162353516,3007.0260162353516,0.0,0.015912159283955892
38,3004.5768127441406,3004.5768127441406,0.0,0.015203376611073812
39,3005.7796630859375,3005.7796630859375,0.0,0.014748831590016684
40,3008.7210388183594,3008.7210388183594,0.0,0.014820663134257
41,3006.9583435058594,3006.9583435058594,0.0,0.01455622911453247
42,3014.476531982422,3014.476531982422,0.0,0.015868266423543293
43,3005.041717529297,3005.041717529297,0.0,0.014185460408528645
44,3008.3426055908203,3008.3426055908203,0.0,0.017996466159820555
45,3013.1781311035156,3013.1781311035156,0.0,0.01711428165435791
46,3005.616928100586,3005.616928100586,0.0,0.017055984338124594
47,3016.060348510742,3016.060348510742,0.0,0.014342284202575684
48,3014.2592010498047,3014.2592010498047,0.0,0.014661971728007
49,3012.4962310791016,3012.4962310791016,0.0,0.012915658950805663
50,3006.0331115722656,3006.0331115722656,0.0,0.015379071235656738
51,3011.8446044921875,3011.8446044921875,0.0,0.015640032291412354
52,3007.256607055664,3007.256607055664,0.0,0.018771620591481526
53,3006.541030883789,3006.541030883789,0.0,0.01583896080652873
54,3009.7510986328125,3009.7510986328125,0.0,0.014469762643178305
55,3007.197509765625,3007.197509765625,0.0,0.014017621676127115
56,3013.2649688720703,3013.2649688720703,0.0,0.01689801613489787
57,3005.9551696777344,3005.9551696777344,0.0,0.016429924964904787
58,3009.1527252197266,3009.1527252197266,0.0,0.01653287410736084
59,3002.8272705078125,3002.8272705078125,0.0,0.014713982741038004
60,3027.966079711914,3027.966079711914,0.0,0.015158545970916749
61,3004.1919555664062,3004.1919555664062,0.0,0.015233421325683593
62,3009.6442260742188,3009.6442260742188,0.0,0.01583887736002604
63,3012.870018005371,3012.870018005371,0.0,0.014211551348368327
64,3009.994598388672,3009.994598388672,0.0,0.013099090258280436
65,3010.0614013671875,3010.0614013671875,0.0,0.017411696910858154
66,3004.930374145508,3004.930374145508,0.0,0.013681769371032715
67,3005.2409057617188,3005.2409057617188,0.0,0.015317996342976889
68,3017.987762451172,3017.987762451172,0.0,0.013233021895090739
69,3009.4302673339844,3009.4302673339844,0.0,0.014056972662607829
70,3006.3287048339844,3006.3287048339844,0.0,0.014180286725362142
71,3004.626235961914,3004.626235961914,0.0,0.015357025464375814
72,3013.2481079101562,3013.2481079101562,0.0,0.014261976877848307
73,3009.172088623047,3009.172088623047,0.0,0.019479878743489585
74,3005.7049255371094,3005.7049255371094,0.0,0.01436228354771932
75,3007.3734588623047,3007.3734588623047,0.0,0.018183374404907228
76,3014.345657348633,3014.345657348633,0.0,0.014974109331766764
77,3006.068328857422,3006.068328857422,0.0,0.012784016132354737
78,3011.8081970214844,3011.8081970214844,0.0,0.013101506233215331
79,3019.939498901367,3019.939498901367,0.0,0.01436314582824707
80,3003.8287200927734,3003.8287200927734,0.0,0.015221126874287923
81,3018.8009338378906,3018.8009338378906,0.0,0.014336613814036052
82,3014.5530548095703,3014.5530548095703,0.0,0.02024752696355184
83,3007.0921173095703,3007.0921173095703,0.0,0.017820902665456138
84,3004.3785858154297,3004.3785858154297,0.0,0.01969492038091024
85,3012.096145629883,3012.096145629883,0.0,0.016618784268697104
86,3011.554489135742,3011.554489135742,0.0,0.016278592745463054
87,3026.035614013672,3026.035614013672,0.0,0.014396270116170248
88,3010.326705932617,3010.326705932617,0.0,0.016600064436594644
89,3007.2063903808594,3007.2063903808594,0.0,0.01598881483078003
90,3006.1845703125,3006.1845703125,0.0,0.01681834856669108
91,3007.1788330078125,3007.1788330078125,0.0,0.014538880189259846
92,3008.2318725585938,3008.2318725585938,0.0,0.016591783364613852
93,3014.5902252197266,3014.5902252197266,0.0,0.01470487117767334
94,3013.258529663086,3013.258529663086,0.0,0.018980451424916587
95,3006.454147338867,3006.454147338867,0.0,0.013651581605275472
96,3017.129135131836,3017.129135131836,0.0,0.012676811218261719
97,3014.5331420898438,3014.5331420898438,0.0,0.015000589688618978
98,3022.568618774414,3022.568618774414,0.0,0.01563551425933838
99,3026.2642974853516,3026.2642974853516,0.0,0.014346675078074137
100,3008.659225463867,3008.659225463867,0.0,0.01490789254506429
101,3014.312210083008,3014.312210083008,0.0,0.014419702688852946
102,3010.219436645508,3010.219436645508,0.0,0.015276908874511719
103,3004.7037200927734,3004.7037200927734,0.0,0.014597622553507487
104,3013.135772705078,3013.135772705078,0.0,0.015623513857523601
105,3015.30322265625,3015.30322265625,0.0,0.01959675153096517
106,3015.7626037597656,3015.7626037597656,0.0,0.018871756394704182
107,3010.656509399414,3010.656509399414,0.0,0.021227689584096272
108,3014.413116455078,3014.413116455078,0.0,0.015895402431488036
109,3010.147674560547,3010.147674560547,0.0,0.017759974797566733
110,3012.2029724121094,3012.2029724121094,0.0,0.018383344014485676
111,3019.7181701660156,3019.7181701660156,0.0,0.014272308349609375
112,3018.0569763183594,3018.0569763183594,0.0,0.018636425336201985
113,3005.7716522216797,3005.7716522216797,0.0,0.013625105222066244
114,3004.8753356933594,3004.8753356933594,0.0,0.015379337469736735
115,3009.1344604492188,3009.1344604492188,0.0,0.01762199799219767
