Epoch,TotalLoss,ExtinctionLoss,DensityLoss,Time
0,62919.250638246536,62907.134765625,12.115872621536255,0.017315741380055746
1,43665.158203125,43665.158203125,0.0,0.0197904109954834
2,43402.60302734375,43402.60302734375,0.0,0.017386424541473388
3,42537.246826171875,42537.246826171875,0.0,0.014543608824412028
4,42346.72021484375,42346.72021484375,0.0,0.018609058856964112
5,42189.165771484375,42189.165771484375,0.0,0.01691214640935262
6,42091.15234375,42091.15234375,0.0,0.01777409315109253
7,42031.17224121094,42031.17224121094,0.0,0.02838508685429891
8,41973.038330078125,41973.038330078125,0.0,0.026839061578114828
9,41940.8603515625,41940.8603515625,0.0,0.017219253381093345
10,41940.88854980469,41940.88854980469,0.0,0.01719902753829956
11,41903.4892578125,41903.4892578125,0.0,0.02046643098195394
12,41886.84033203125,41886.84033203125,0.0,0.018423600991566976
13,41861.781494140625,41861.781494140625,0.0,0.018912915388743082
14,41855.01611328125,41855.01611328125,0.0,0.026523836453755698
15,41855.56689453125,41855.56689453125,0.0,0.018464994430541993
16,41853.066162109375,41853.066162109375,0.0,0.028735939661661783
17,41852.13037109375,41852.13037109375,0.0,0.02203391393025716
18,41827.9208984375,41827.9208984375,0.0,0.03450922171274821
19,41816.037841796875,41816.037841796875,0.0,0.01946769158045451
20,41816.3876953125,41816.3876953125,0.0,0.025221506754557293
21,41800.31591796875,41800.31591796875,0.0,0.014972349007924398
22,41782.627197265625,41782.627197265625,0.0,0.013104657332102457
23,41806.716064453125,41806.716064453125,0.0,0.02406642436981201
24,41783.31982421875,41783.31982421875,0.0,0.01296697457631429
25,41786.92639160156,41786.92639160156,0.0,0.01968595584233602
26,41785.364501953125,41785.364501953125,0.0,0.026533416906992593
27,41851.29650878906,41851.29650878906,0.0,0.021783586343129477
28,41766.269775390625,41766.269775390625,0.0,0.03360583782196045
29,41774.118408203125,41774.118408203125,0.0,0.03219357331593831
30,41753.15625,41753.15625,0.0,0.013570380210876466
31,41753.81689453125,41753.81689453125,0.0,0.014415228366851806
32,41742.3330078125,41742.3330078125,0.0,0.020241562525431314
33,41738.20751953125,41738.20751953125,0.0,0.02517803112665812
34,41734.002197265625,41734.002197265625,0.0,0.03338467280069987
35,41769.745849609375,41769.745849609375,0.0,0.02397398551305135
36,41753.246337890625,41753.246337890625,0.0,0.01299656629562378
37,41745.88232421875,41745.88232421875,0.0,0.0338372548421224
38,41739.176513671875,41739.176513671875,0.0,0.021874109903971355
39,41713.83142089844,41713.83142089844,0.0,0.02729864517847697
