Epoch,TotalLoss,ExtinctionLoss,DensityLoss,Time
0,1826031.453125,1826031.453125,0.0,0.02438983917236328
1,1685100.4140625,1685100.4140625,0.0,0.013290059566497803
2,1661451.0625,1661451.0625,0.0,0.015015606085459392
3,1641209.7109375,1641209.7109375,0.0,0.01549994150797526
4,1629509.1796875,1629509.1796875,0.0,0.012549304962158203
5,1636519.3515625,1636519.3515625,0.0,0.014096673329671223
6,1644633.84375,1644633.84375,0.0,0.014403247833251953
7,1635451.640625,1635451.640625,0.0,0.015833751360575358
8,1626575.2578125,1626575.2578125,0.0,0.013666343688964844
9,1632689.859375,1632689.859375,0.0,0.013533461093902587
10,1626277.8125,1626277.8125,0.0,0.014182833830515544
11,1634484.0546875,1634484.0546875,0.0,0.014703774452209472
12,1633033.6875,1633033.6875,0.0,0.016352041562398275
13,1645513.2421875,1645513.2421875,0.0,0.01740079720815023
14,1644289.28125,1644289.28125,0.0,0.020706760883331298
15,1625819.984375,1625819.984375,0.0,0.01402140458424886
16,1640903.8984375,1640903.8984375,0.0,0.014407336711883545
17,1648044.125,1648044.125,0.0,0.013851078351338704
18,1637804.4765625,1637804.4765625,0.0,0.02112052043279012
19,1636213.4921875,1636213.4921875,0.0,0.016946776707967123
20,1625319.703125,1625319.703125,0.0,0.014367190996805827
21,1641362.234375,1641362.234375,0.0,0.014616215229034423
22,1638995.46875,1638995.46875,0.0,0.013933185736338298
23,1629582.3828125,1629582.3828125,0.0,0.013844140370686849
24,1630231.1796875,1630231.1796875,0.0,0.02387312650680542
25,1636718.7265625,1636718.7265625,0.0,0.024456854661305746
26,1628988.953125,1628988.953125,0.0,0.022356776396433513
27,1630004.734375,1630004.734375,0.0,0.016922640800476074
28,1624304.3359375,1624304.3359375,0.0,0.02029813528060913
29,1628262.7265625,1628262.7265625,0.0,0.030635074774424235
30,1625366.4765625,1625366.4765625,0.0,0.026931571960449218
31,1652811.6953125,1652811.6953125,0.0,0.020544842878977457
32,1635240.5,1635240.5,0.0,0.015531023343404135
33,1633944.9296875,1633944.9296875,0.0,0.017030100027720135
34,1625496.5390625,1625496.5390625,0.0,0.013066009680430094
35,1636643.609375,1636643.609375,0.0,0.013042497634887695
36,1628908.8984375,1628908.8984375,0.0,0.014905341466267904
37,1625545.515625,1625545.515625,0.0,0.02043965260187785
38,1628227.7890625,1628227.7890625,0.0,0.01860166390736898
39,1625409.59375,1625409.59375,0.0,0.017443652947743735
40,1636946.6640625,1636946.6640625,0.0,0.014774545033772787
41,1627769.8125,1627769.8125,0.0,0.015177770455678304
42,1629993.5859375,1629993.5859375,0.0,0.013474047183990479
43,1682169.125,1682169.125,0.0,0.015956032276153564
44,1654958.59375,1654958.59375,0.0,0.014048083623250326
45,1635983.5390625,1635983.5390625,0.0,0.015806337197621662
46,1625675.6640625,1625675.6640625,0.0,0.028385249773661296
47,1623504.40625,1623504.40625,0.0,0.013439762592315673
48,1659690.921875,1659690.921875,0.0,0.013794489701588948
49,1659290.90625,1659290.90625,0.0,0.02447796662648519
50,1633606.03125,1633606.03125,0.0,0.01701211134592692
51,1632924.375,1632924.375,0.0,0.021519354979197183
52,1633532.421875,1633532.421875,0.0,0.014372074604034423
53,1628866.4453125,1628866.4453125,0.0,0.013518969217936197
54,1632000.25,1632000.25,0.0,0.013360297679901123
55,1635659.28125,1635659.28125,0.0,0.029913198947906495
56,1629148.0,1629148.0,0.0,0.028193155924479168
57,1627479.7421875,1627479.7421875,0.0,0.014700059096018474
58,1627660.453125,1627660.453125,0.0,0.013363842169443767
59,1626628.78125,1626628.78125,0.0,0.017521166801452638
60,1633647.0859375,1633647.0859375,0.0,0.013468194007873534
61,1625327.6484375,1625327.6484375,0.0,0.013369027773539226
62,1629722.9375,1629722.9375,0.0,0.02262120246887207
63,1628490.46875,1628490.46875,0.0,0.0279969851175944
64,1626258.515625,1626258.515625,0.0,0.016002555688222248
65,1631257.2734375,1631257.2734375,0.0,0.01353227694829305
66,1629088.4296875,1629088.4296875,0.0,0.015205379327138264
67,1624110.2578125,1624110.2578125,0.0,0.013272833824157716
68,1625526.0234375,1625526.0234375,0.0,0.013378763198852539
69,1625787.1953125,1625787.1953125,0.0,0.024130523204803467
70,1628897.59375,1628897.59375,0.0,0.022122156620025635
71,1627063.140625,1627063.140625,0.0,0.022576693693796793
72,1631860.1328125,1631860.1328125,0.0,0.02346963087717692
73,1627940.8203125,1627940.8203125,0.0,0.02871545155843099
74,1632492.125,1632492.125,0.0,0.0132676362991333
75,1628664.859375,1628664.859375,0.0,0.023095095157623292
76,1630135.6015625,1630135.6015625,0.0,0.021051204204559325
77,1622052.3828125,1622052.3828125,0.0,0.018642552693684897
78,1654728.328125,1654728.328125,0.0,0.015458925565083822
79,1631411.7734375,1631411.7734375,0.0,0.020671828587849935
80,1628698.703125,1628698.703125,0.0,0.017813762029012043
81,1625214.0546875,1625214.0546875,0.0,0.01481937567392985
82,1632259.390625,1632259.390625,0.0,0.027764272689819337
83,1644415.53125,1644415.53125,0.0,0.02863517204920451
84,1629888.3828125,1629888.3828125,0.0,0.03193915287653605
85,1625516.9921875,1625516.9921875,0.0,0.03412098884582519
86,1625995.2890625,1625995.2890625,0.0,0.022397112846374512
87,1645747.7265625,1645747.7265625,0.0,0.013360504309336345
88,1667568.6953125,1667568.6953125,0.0,0.013506452242533365
89,1660374.828125,1660374.828125,0.0,0.014645262559254964
90,1648483.015625,1648483.015625,0.0,0.018341787656148276
91,1636018.5390625,1636018.5390625,0.0,0.02018501361211141
